"STATION","NAME","DATE","AWND","PGTM","PRCP","TAVG","TMAX","TMIN","WDF2","WDF5","WSF2","WSF5","WT01","WT02","WT03","WT08"
"USW00054788","MERIDEN MARKHAM MUNICIPAL AIRPORT, CT US","2010-03-29","8.05"," 0740","2.62",,"53","48","  160","  160","21.9","32.0","    1",,,
"USW00054788","MERIDEN MARKHAM MUNICIPAL AIRPORT, CT US","2010-03-30","12.97"," 1114","1.62",,"51","42","   20","   20","21.9","36.0","    1",,,
"USW00054788","MERIDEN MARKHAM MUNICIPAL AIRPORT, CT US","2010-03-31","6.49"," 1229","0.08",,"52","46","  330","  330","13.0","18.1","    1",,,
"USW00054788","MERIDEN MARKHAM MUNICIPAL AIRPORT, CT US","2010-04-01","4.92"," 0724","0.00",,"69","45","  180","  350","14.1","17.0",,,,
"USW00054788","MERIDEN MARKHAM MUNICIPAL AIRPORT, CT US","2010-04-02","4.47"," 1539","0.00",,"69","40","  190","  180","15.0","18.1","    1",,,
"USW00054788","MERIDEN MARKHAM MUNICIPAL AIRPORT, CT US","2010-04-03","7.61"," 1425","0.00",,"69","40","  160","  160","18.1","25.1","    1",,,
"USW00054788","MERIDEN MARKHAM MUNICIPAL AIRPORT, CT US","2010-04-04","4.25"," 1401","0.00",,"76","47","  320","  330","15.0","19.9","    1",,,
"USW00054788","MERIDEN MARKHAM MUNICIPAL AIRPORT, CT US","2010-04-05","6.71"," 1532","0.00",,"71","41","  180","  190","21.9","29.1",,,,
"USW00054788","MERIDEN MARKHAM MUNICIPAL AIRPORT, CT US","2010-04-06","3.13"," 1411","0.01",,"74","44","  180","  190","17.0","21.9","    1","    1",,
"USW00054788","MERIDEN MARKHAM MUNICIPAL AIRPORT, CT US","2010-04-07","4.70"," 1334","0.00",,"92","44","  250","  240","16.1","25.9","    1","    1",,"    1"
"USW00054788","MERIDEN MARKHAM MUNICIPAL AIRPORT, CT US","2010-04-08","7.38"," 1255","0.00",,"81","54","  180","  180","18.1","23.0",,,,
"USW00054788","MERIDEN MARKHAM MUNICIPAL AIRPORT, CT US","2010-04-09","7.83"," 1819","0.28",,"59","43","  340","  330","21.0","32.0","    1",,,
"USW00054788","MERIDEN MARKHAM MUNICIPAL AIRPORT, CT US","2010-04-10","9.40"," 0945","0.00",,"61","41","  280","  310","21.0","29.1",,,,
"USW00054788","MERIDEN MARKHAM MUNICIPAL AIRPORT, CT US","2010-04-11","7.16"," 1116","0.00",,"75","44","  320","  320","16.1","23.0",,,,
"USW00054788","MERIDEN MARKHAM MUNICIPAL AIRPORT, CT US","2010-04-12","5.82"," 1338","0.00",,"64","36","  320","  320","21.0","25.9",,,,
"USW00054788","MERIDEN MARKHAM MUNICIPAL AIRPORT, CT US","2010-04-13","2.24"," 1743","0.00",,"60","38","  180","  180","12.1","15.0",,,,
"USW00054788","MERIDEN MARKHAM MUNICIPAL AIRPORT, CT US","2010-04-14","3.80"," 1648","0.00",,"67","33","  320","  310","15.0","19.9","    1","    1",,
"USW00054788","MERIDEN MARKHAM MUNICIPAL AIRPORT, CT US","2010-04-15","6.04"," 1339","0.00",,"71","34","  140","  310","21.0","29.1",,,,
"USW00054788","MERIDEN MARKHAM MUNICIPAL AIRPORT, CT US","2010-04-16","6.04"," 1212","0.32",,"52","42","  130","  180","14.1","19.9","    1",,,
"USW00054788","MERIDEN MARKHAM MUNICIPAL AIRPORT, CT US","2010-04-17","3.80"," 1428","0.07",,"50","41","  320","  280","17.0","23.9","    1",,,
"USW00054788","MERIDEN MARKHAM MUNICIPAL AIRPORT, CT US","2010-04-18","5.59"," 1323","0.00",,"56","40","  290","  330","18.1","23.0",,,,
"USW00054788","MERIDEN MARKHAM MUNICIPAL AIRPORT, CT US","2010-04-19","7.38"," 0948","0.00",,"61","32","  320","  320","21.0","28.0","    1",,,
"USW00054788","MERIDEN MARKHAM MUNICIPAL AIRPORT, CT US","2010-04-20","2.91"," 1359","0.00",,"71","35","  310","  310","17.0","23.0","    1",,,
"USW00054788","MERIDEN MARKHAM MUNICIPAL AIRPORT, CT US","2010-04-21","6.04"," 1516","0.00",,"70","37","  180","  200","21.0","28.0","    1",,,
"USW00054788","MERIDEN MARKHAM MUNICIPAL AIRPORT, CT US","2010-04-22","4.03"," 1513","0.00",,"71","42","  240","  290","21.0","28.0","    1","    1","    1",
"USW00054788","MERIDEN MARKHAM MUNICIPAL AIRPORT, CT US","2010-04-23","8.28"," 1514","0.00",,"66","38","  330","  320","21.9","30.0",,,,
"USW00054788","MERIDEN MARKHAM MUNICIPAL AIRPORT, CT US","2010-04-24","5.14"," 1618","0.00",,"69","37","  180","  190","18.1","21.9",,,,
"USW00054788","MERIDEN MARKHAM MUNICIPAL AIRPORT, CT US","2010-04-25","3.58"," 0758","0.26",,"54","47","  110","  250","8.1","15.0","    1",,,
"USW00054788","MERIDEN MARKHAM MUNICIPAL AIRPORT, CT US","2010-04-26","3.58"," 1015","0.33",,"58","49","   40","   50","8.9","13.0","    1",,,
"USW00054788","MERIDEN MARKHAM MUNICIPAL AIRPORT, CT US","2010-04-27","7.38"," 1325","0.08",,"55","37","  330","  310","19.9","28.0","    1",,,
"USW00054788","MERIDEN MARKHAM MUNICIPAL AIRPORT, CT US","2010-04-28","9.40"," 1610","0.00",,"54","31","  320","  300","21.9","31.1",,,,
"USW00054788","MERIDEN MARKHAM MUNICIPAL AIRPORT, CT US","2010-04-29","8.28"," 1403","0.00",,"68","29","  320","  310","35.1","45.0","    1",,,
"USW00054788","MERIDEN MARKHAM MUNICIPAL AIRPORT, CT US","2010-04-30","3.58"," 1532","0.00",,"80","35","  300","  340","19.9","25.1",,,,
"USW00054788","MERIDEN MARKHAM MUNICIPAL AIRPORT, CT US","2010-05-01","3.80"," 1538","0.00",,"81","48","  180","  180","14.1","17.0",,,,
"USW00054788","MERIDEN MARKHAM MUNICIPAL AIRPORT, CT US","2010-05-02","6.71"," 1427","0.00",,"86","56","  170","  170","17.0","23.9",,,,
"USW00054788","MERIDEN MARKHAM MUNICIPAL AIRPORT, CT US","2010-05-03","4.47"," 1428","0.42",,"81","54","  280","  280","23.0","32.0","    1",,"    1",
"USW00054788","MERIDEN MARKHAM MUNICIPAL AIRPORT, CT US","2010-05-04","3.80"," 1558","0.05",,"80","48","  320","  320","31.1","40.0","    1","    1","    1",
"USW00054788","MERIDEN MARKHAM MUNICIPAL AIRPORT, CT US","2010-05-05","5.82"," 1651","0.00",,"79","43","  180","  190","19.9","28.0","    1",,,
"USW00054788","MERIDEN MARKHAM MUNICIPAL AIRPORT, CT US","2010-05-06","9.40"," 1405","0.01",,"79","54","  300","  300","21.9","32.0","    1",,,
"USW00054788","MERIDEN MARKHAM MUNICIPAL AIRPORT, CT US","2010-05-07","6.71"," 2356","0.00",,"72","49","  320","  340","21.0","25.9",,,,
"USW00054788","MERIDEN MARKHAM MUNICIPAL AIRPORT, CT US","2010-05-08","6.93"," 1739","0.19",,"75","49","  280","  260","21.9","36.9","    1",,"    1",
"USW00054788","MERIDEN MARKHAM MUNICIPAL AIRPORT, CT US","2010-05-09","15.43"," 1215","0.00",,"54","40","  320","  340","25.9","36.9",,,,
"USW00054788","MERIDEN MARKHAM MUNICIPAL AIRPORT, CT US","2010-05-10","11.63"," 0824","0.00",,"59","37","  320","  310","29.1","38.9",,,,
"USW00054788","MERIDEN MARKHAM MUNICIPAL AIRPORT, CT US","2010-05-11","4.47"," 1040","0.00",,"58","29","  360","  360","14.1","21.0",,,,
"USW00054788","MERIDEN MARKHAM MUNICIPAL AIRPORT, CT US","2010-05-12","2.46"," 1113","0.34",,"48","38","  100","  100","10.1","14.1","    1","    1",,
"USW00054788","MERIDEN MARKHAM MUNICIPAL AIRPORT, CT US","2010-05-13","3.58"," 1615","0.00",,"68","33","  250","  240","10.1","15.0","    1","    1",,
"USW00054788","MERIDEN MARKHAM MUNICIPAL AIRPORT, CT US","2010-05-14","5.82"," 1800","0.39",,"76","48","  180","  180","16.1","21.0","    1",,"    1","    1"
"USW00054788","MERIDEN MARKHAM MUNICIPAL AIRPORT, CT US","2010-05-15","9.62"," 1006","0.03",,"73","51","  320","  320","25.1","35.1","    1",,,
"USW00054788","MERIDEN MARKHAM MUNICIPAL AIRPORT, CT US","2010-05-16","4.03"," 1611","0.00",,"74","43","  330","  300","16.1","21.9",,,,
"USW00054788","MERIDEN MARKHAM MUNICIPAL AIRPORT, CT US","2010-05-17","2.01"," 1548","0.00",,"77","40","  190","  190","12.1","15.0","    1",,,
"USW00054788","MERIDEN MARKHAM MUNICIPAL AIRPORT, CT US","2010-05-18","4.25"," 1838","0.85",,"56","48","   40","   30","14.1","21.0","    1",,,
"USW00054788","MERIDEN MARKHAM MUNICIPAL AIRPORT, CT US","2010-05-19","6.04"," 0915","0.04",,"64","49","  340","  330","15.0","21.9","    1",,,
"USW00054788","MERIDEN MARKHAM MUNICIPAL AIRPORT, CT US","2010-05-20","3.58"," 1411","0.00",,"79","49","  180","  170","15.0","19.9","    1",,,
"USW00054788","MERIDEN MARKHAM MUNICIPAL AIRPORT, CT US","2010-05-21","3.80"," 1506","0.00",,"85","53","  170","  140","16.1","21.9","    1",,,
"USW00054788","MERIDEN MARKHAM MUNICIPAL AIRPORT, CT US","2010-05-22","3.58"," 1459","0.00",,"76","52","  150","  140","12.1","16.1",,,,
"USW00054788","MERIDEN MARKHAM MUNICIPAL AIRPORT, CT US","2010-05-23","3.36"," 1332","0.00",,"77","57","  170","  150","13.0","17.0","    1",,,
"USW00054788","MERIDEN MARKHAM MUNICIPAL AIRPORT, CT US","2010-05-24","3.36"," 1556","0.00",,"77","59","  200","  200","12.1","15.0","    1",,,
"USW00054788","MERIDEN MARKHAM MUNICIPAL AIRPORT, CT US","2010-05-25","3.36"," 1505","0.00",,"86","55","  170","  200","15.0","19.9","    1",,,
"USW00054788","MERIDEN MARKHAM MUNICIPAL AIRPORT, CT US","2010-05-26","3.80"," 2345","0.06",,"96","56","   20","   20","23.0","40.0",,,"    1","    1"
"USW00054788","MERIDEN MARKHAM MUNICIPAL AIRPORT, CT US","2010-05-27","5.14"," 0134","0.12",,"77","54","  310","  330","18.1","29.1","    1",,"    1",
"USW00054788","MERIDEN MARKHAM MUNICIPAL AIRPORT, CT US","2010-05-28","2.91"," 1520","0.00",,"77","53","  180","  180","14.1","19.9",,,,
"USW00054788","MERIDEN MARKHAM MUNICIPAL AIRPORT, CT US","2010-05-29","4.25"," 1807","0.00",,"77","51","  170","  110","17.0","23.9","    1",,,"    1"
"USW00054788","MERIDEN MARKHAM MUNICIPAL AIRPORT, CT US","2010-05-30","6.71"," 1447","0.00",,"84","57","  330","  320","19.9","25.9","    1",,,
"USW00054788","MERIDEN MARKHAM MUNICIPAL AIRPORT, CT US","2010-05-31","4.47"," 1338","0.00",,"80","56","  180","  180","15.0","21.9","    1",,,
"USW00054788","MERIDEN MARKHAM MUNICIPAL AIRPORT, CT US","2010-06-01","3.58"," 1300","0.45",,"85","63","  330","  330","21.9","25.1","    1","    1","    1","    1"
"USW00054788","MERIDEN MARKHAM MUNICIPAL AIRPORT, CT US","2010-06-02","3.80"," 0649","0.00",,"83","58","  170","  210","13.0","25.1","    1","    1",,
"USW00054788","MERIDEN MARKHAM MUNICIPAL AIRPORT, CT US","2010-06-03","6.04"," 1235","0.15",,"81","64","  170","  170","15.0","18.1","    1",,"    1","    1"
"USW00054788","MERIDEN MARKHAM MUNICIPAL AIRPORT, CT US","2010-06-04","3.36"," 1707","0.00",,"86","62","  190","  190","14.1","17.0","    1",,,
"USW00054788","MERIDEN MARKHAM MUNICIPAL AIRPORT, CT US","2010-06-05","4.70"," 1551","0.07",,"87","67","  200","  230","12.1","18.1","    1",,"    1","    1"
"USW00054788","MERIDEN MARKHAM MUNICIPAL AIRPORT, CT US","2010-06-06","9.62"," 1756","0.09",,"84","58","  320","  340","23.9","33.1","    1",,,"    1"
"USW00054788","MERIDEN MARKHAM MUNICIPAL AIRPORT, CT US","2010-06-07","8.05"," 1101","0.00",,"75","48","  340","  310","18.1","25.9",,,,
"USW00054788","MERIDEN MARKHAM MUNICIPAL AIRPORT, CT US","2010-06-08","6.04"," 1408","0.01",,"73","44","  310","  290","23.0","30.0",,,,
"USW00054788","MERIDEN MARKHAM MUNICIPAL AIRPORT, CT US","2010-06-09","3.58"," 1834","0.34",,"68","45","  190","  220","14.1","18.1","    1",,,
"USW00054788","MERIDEN MARKHAM MUNICIPAL AIRPORT, CT US","2010-06-10","1.12"," 1507","0.11",,"73","56","  340","  320","25.9","38.0","    1",,"    1",
"USW00054788","MERIDEN MARKHAM MUNICIPAL AIRPORT, CT US","2010-06-11","4.25"," 1542","0.00",,"70","54","  190","  180","16.1","19.9","    1",,,
"USW00054788","MERIDEN MARKHAM MUNICIPAL AIRPORT, CT US","2010-06-12","3.58"," 1717","0.55",,"69","57","  170","  190","14.1","17.0","    1","    1","    1","    1"
